,Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home.1,Home.2,Home.3,Home.4,Home.5,Home.6,Home.7,Away,Away.1,Away.2,Away.3,Away.4,Away.5,Away.6,Away.7
0,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,MP,W,D,L,GF,GA,GD,Pts
1,1,Manchester City,19,15,2,2,58,15,43,47,19,14,4,1,41,11,30,46
2,2,Liverpool,19,15,4,0,49,9,40,49,19,13,4,2,45,17,28,43
3,3,Chelsea,19,9,7,3,37,22,15,34,19,12,4,3,39,11,28,40
4,4,Tottenham,19,13,1,5,38,19,19,40,19,9,4,6,31,21,10,31
5,5,Arsenal,19,13,2,4,35,17,18,41,19,9,1,9,26,31,-5,28
6,6,Manchester Utd,19,10,5,4,32,22,10,35,19,6,5,8,25,35,-10,23
7,7,West Ham,19,9,5,5,33,26,7,32,19,7,3,9,27,25,2,24
8,8,Leicester City,19,10,4,5,34,23,11,34,19,4,6,9,28,36,-8,18
9,9,Brighton,19,5,7,7,19,23,-4,22,19,7,8,4,23,21,2,29
10,10,Wolves,19,7,3,9,20,25,-5,24,19,8,3,8,18,18,0,27
11,11,Newcastle Utd,19,8,6,5,26,27,-1,30,19,5,4,10,18,35,-17,19
12,12,Crystal Palace,19,7,8,4,27,17,10,29,19,4,7,8,23,29,-6,19
13,13,Brentford,19,7,3,9,22,21,1,24,19,6,4,9,26,35,-9,22
14,14,Aston Villa,19,6,5,8,29,29,0,23,19,7,1,11,23,25,-2,22
15,15,Southampton,19,6,7,6,23,24,-1,25,19,3,6,10,20,43,-23,15
16,16,Everton,19,9,2,8,27,25,2,29,19,2,4,13,16,41,-25,10
17,17,Leeds United,19,4,6,9,19,38,-19,18,19,5,5,9,23,41,-18,20
18,18,Burnley,19,5,6,8,18,25,-7,21,19,2,8,9,16,28,-12,14
19,19,Watford,19,2,2,15,17,46,-29,8,19,4,3,12,17,31,-14,15
20,20,Norwich City,19,3,3,13,12,43,-31,12,19,2,4,13,11,41,-30,10
