,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts
0,1,Manchester City,38,29,6,3,99,26,73,93
1,2,Liverpool,38,28,8,2,94,26,68,92
2,3,Chelsea,38,21,11,6,76,33,43,74
3,4,Tottenham,38,22,5,11,69,40,29,71
4,5,Arsenal,38,22,3,13,61,48,13,69
5,6,Manchester Utd,38,16,10,12,57,57,0,58
6,7,West Ham,38,16,8,14,60,51,9,56
7,8,Leicester City,38,14,10,14,62,59,3,52
8,9,Brighton,38,12,15,11,42,44,-2,51
9,10,Wolves,38,15,6,17,38,43,-5,51
10,11,Newcastle Utd,38,13,10,15,44,62,-18,49
11,12,Crystal Palace,38,11,15,12,50,46,4,48
12,13,Brentford,38,13,7,18,48,56,-8,46
13,14,Aston Villa,38,13,6,19,52,54,-2,45
14,15,Southampton,38,9,13,16,43,67,-24,40
15,16,Everton,38,11,6,21,43,66,-23,39
16,17,Leeds United,38,9,11,18,42,79,-37,38
17,18,Burnley,38,7,14,17,34,53,-19,35
18,19,Watford,38,6,5,27,34,77,-43,23
19,20,Norwich City,38,5,7,26,23,84,-61,22
