,Home,xG,Score,xG.1,Away
0,Brentford,1.3,2–0,1.4,Arsenal
1,Manchester Utd,1.5,5–1,0.6,Leeds United
2,Leicester City,0.8,1–0,1.1,Wolves
3,Burnley,1.0,1–2,1.3,Brighton
4,Chelsea,0.9,3–0,0.3,Crystal Palace
5,Watford,1.2,3–2,1.1,Aston Villa
6,Everton,2.4,3–1,0.7,Southampton
7,Norwich City,1.4,0–3,2.0,Liverpool
8,Newcastle Utd,1.5,2–4,2.3,West Ham
9,Tottenham,1.3,1–0,1.9,Manchester City
11,Liverpool,2.9,2–0,0.7,Burnley
12,Aston Villa,1.1,2–0,0.7,Newcastle Utd
13,Manchester City,2.7,5–0,0.1,Norwich City
14,Leeds United,1.5,2–2,2.0,Everton
15,Crystal Palace,0.6,0–0,0.9,Brentford
16,Brighton,1.5,2–0,0.9,Watford
17,Wolves,1.4,0–1,1.5,Tottenham
18,Southampton,0.8,1–1,1.4,Manchester Utd
19,Arsenal,0.3,0–2,2.9,Chelsea
20,West Ham,2.5,4–1,0.8,Leicester City
22,Manchester City,3.8,5–0,0.1,Arsenal
23,Norwich City,1.6,1–2,1.3,Leicester City
24,West Ham,1.2,2–2,0.7,Crystal Palace
25,Aston Villa,0.6,1–1,1.1,Brentford
26,Newcastle Utd,1.4,2–2,3.6,Southampton
27,Brighton,1.0,0–2,1.6,Everton
28,Liverpool,2.6,1–1,0.8,Chelsea
29,Burnley,1.4,1–1,1.5,Leeds United
30,Tottenham,0.9,1–0,0.6,Watford
31,Wolves,1.8,0–1,0.6,Manchester Utd
33,Crystal Palace,2.4,3–0,0.1,Tottenham
34,Watford,0.2,0–2,2.1,Wolves
35,Brentford,0.7,0–1,0.2,Brighton
36,Arsenal,2.8,1–0,0.6,Norwich City
37,Manchester Utd,2.1,4–1,0.7,Newcastle Utd
38,Leicester City,0.8,0–1,2.9,Manchester City
39,Southampton,0.8,0–0,0.6,West Ham
40,Chelsea,1.1,3–0,1.5,Aston Villa
41,Leeds United,1.2,0–3,4.0,Liverpool
42,Everton,1.3,3–1,1.3,Burnley
44,Newcastle Utd,1.3,1–1,2.0,Leeds United
45,Wolves,0.6,0–2,2.5,Brentford
46,Manchester City,1.1,0–0,0.4,Southampton
47,Liverpool,2.7,3–0,0.8,Crystal Palace
48,Norwich City,1.0,1–3,1.8,Watford
49,Burnley,1.3,0–1,1.2,Arsenal
50,Aston Villa,1.3,3–0,0.7,Everton
51,West Ham,1.6,1–2,1.8,Manchester Utd
52,Brighton,1.4,2–1,1.7,Leicester City
53,Tottenham,0.7,0–3,1.9,Chelsea
55,Manchester Utd,2.3,0–1,1.2,Aston Villa
56,Chelsea,0.3,0–1,1.7,Manchester City
57,Leicester City,2.6,2–2,0.7,Burnley
58,Leeds United,1.3,1–2,1.8,West Ham
59,Watford,1.1,1–1,2.5,Newcastle Utd
60,Everton,2.1,2–0,0.6,Norwich City
61,Brentford,1.9,3–3,2.5,Liverpool
62,Southampton,1.2,0–1,1.0,Wolves
63,Arsenal,0.8,3–1,1.0,Tottenham
64,Crystal Palace,1.4,1–1,0.6,Brighton
66,Manchester Utd,0.9,1–1,1.1,Everton
67,Wolves,0.9,2–1,0.6,Newcastle Utd
68,Burnley,1.0,0–0,0.5,Norwich City
69,Chelsea,3.6,3–1,1.3,Southampton
70,Leeds United,1.9,1–0,0.2,Watford
71,Brighton,1.4,0–0,0.5,Arsenal
72,Tottenham,1.7,2–1,1.1,Aston Villa
73,Crystal Palace,1.3,2–2,1.7,Leicester City
74,West Ham,1.3,1–2,1.2,Brentford
75,Liverpool,1.0,2–2,1.2,Manchester City
77,Watford,0.5,0–5,3.6,Liverpool
78,Leicester City,3.1,4–2,1.4,Manchester Utd
79,Manchester City,1.9,2–0,1.0,Burnley
80,Southampton,2.3,1–0,0.2,Leeds United
81,Aston Villa,1.1,2–3,2.0,Wolves
82,Norwich City,1.0,0–0,0.9,Brighton
83,Brentford,1.6,0–1,0.3,Chelsea
84,Everton,0.8,0–1,1.5,West Ham
85,Newcastle Utd,0.5,2–3,1.6,Tottenham
86,Arsenal,1.4,2–2,0.9,Crystal Palace
88,Arsenal,2.7,3–1,1.4,Aston Villa
89,Chelsea,3.2,7–0,0.2,Norwich City
90,Leeds United,1.9,1–1,1.0,Wolves
91,Crystal Palace,1.7,1–1,0.4,Newcastle Utd
92,Everton,2.3,2–5,3.2,Watford
93,Southampton,1.6,2–2,0.7,Burnley
94,Brighton,1.3,1–4,3.9,Manchester City
95,West Ham,1.2,1–0,0.7,Tottenham
96,Brentford,1.2,1–2,1.5,Leicester City
97,Manchester Utd,1.5,0–5,3.8,Liverpool
99,Leicester City,1.2,0–2,0.9,Arsenal
100,Newcastle Utd,0.3,0–3,2.1,Chelsea
101,Liverpool,1.1,2–2,1.1,Brighton
102,Burnley,2.2,3–1,0.7,Brentford
103,Watford,1.2,0–1,2.0,Southampton
104,Manchester City,1.1,0–2,1.1,Crystal Palace
105,Tottenham,0.7,0–3,1.2,Manchester Utd
106,Norwich City,0.9,1–2,1.0,Leeds United
107,Aston Villa,0.7,1–4,2.3,West Ham
108,Wolves,1.6,2–1,1.5,Everton
110,Southampton,0.8,1–0,0.6,Aston Villa
111,Manchester Utd,0.6,0–2,2.0,Manchester City
